AO,BE
Borgosesia,Borgosesia
Bournemouth ,Bournemouth
Briton Ferry Llansawel,Briton Ferry
CD Ardoi FE,CD Ardoi
CD La Virgen Del Camino,La Virgen
CD Tenerife II,Tenerife B
CD Universidad De Oviedo,Universidad Oviedo
CE Mercadal,Mercadal
CE Santanyi,Santanyi
CF Pobla De Mafumet,Pobla Mafumet
Carabobo Valencia,Carabobo
Carabobo Valencia (N),Carabobo
Carlisle,Carlisle
Cavalier,Cavalier
Celta Vigo ,Celta Vigo
Chiangmai,Chiangmai FC
Chieri,Chieri
Chongqing SWM,Chongqing Lifan
Ciserano,Ciserano
Citta Di Anagni,Citta di Anagni
Classe,Classe
Club Agropecuario Argentino,Agropecuario
Club Deportivo San Jose,San Jose
Club Xelaju,Xelaju
Clube Oriental de Lisboa,Oriental
Colomiers,Colomiers
Copenhagen,FC Copenhagen
Covadonga,Covadonga
Crewe,Crewe
Delhi Dynamos FC,Delhi Dynamos
Deportes Santa Cruz (N),Club Deportes Santa Cruz
Deportivo Pasto ,Dep. Pasto
Digenis Voroklinis,Voroklinis
Dinamo Batumi,Dinamo Batumi
Ehime,Ehime
Eibar ,Eibar
El Ahly Cairo,Al Ahly
Emmen,FC Emmen
Entella,Entella
Esbjerg,Esbjerg
Europa,CE Europa
Excursionistas Bajo Belgrano,Excursionistas
FBC Gravina,Gravina
FC Arges Pitesti,Arges Pitesti
FC Cincinnati,Cincinnati
FC Fastav Zlin,Zlin
FC Heidenheim,Heidenheim
FC Lviv U21,Lviv U21
FC Metz,Metz
FC Nantes,Nantes
FC Pyunik,Pyunik Yerevan
FC Ryukyu,Ryukyu
FC Slutsk (N),Slutsk
FC Thun,Thun
FC Vitosha Bistritsa (N),Bistritsa
FC Zbrojovka Brno,Brno
Fezzanese,Fezzanese
Fiorenzuola,Fiorenzuola
Fleury 91,Fleury-Merogis
G.S.D. Castelfidardo Calcio,Castelfidardo
GSD Ambrosiana,Ambrosiana
Gela Calcio,Gela
General Diaz (N),Diaz
Gerena,CD Gerena
Gifu,Gifu
Grasshoppers Zurich,Grasshoppers
Hapoel Iksal FC,Hapoel Iksal Imad
Hearts,Hearts
Hellas Verona FC,Verona
Hilal Al-Quds (PLE),Al Quds
Hobro,Hobro
Igea Virtus Barcellona,Igea Virtus
Inverness,Inverness
Jaguares De Cordoba,Jaguares de Cordoba
Jarota Jarocin,Jarocin
Jef United Ichihara Chiba,Chiba
Kaizer Chiefs (N),Kaizer Chiefs
LA Galaxy,Los Angeles Galaxy
L`Hospitalet,L Hospitalet
Ladispoli,Ladispoli
Lala FC,AC Lala FC
Larissa,AEL Larissa
Legia Warsaw,Legia
Lucchese Libertas,Lucchese
Machida Zelvia,Machida
Machine Sazi Tabriz FC,Machine Sazi
Magdeburg,Magdeburg
Mansfield,Mansfield
Martinenc,Martinenc
Melbourne Victory (N),Melbourne Victory
Mks Pogon Szczecin,Pogon Szczecin
Montegiorgio,Montegiorgio
NK Lokomotiva Zagreb,Lok. Zagreb
NK Mik CM Celje,Celje
Napoli ,Napoli
Necaxa Aguascalientes,Necaxa
Niki Agathias,Niki Agkathia
Odense BK,Odense
Olbia Calcio,Olbia
Olimpik Donetsk U21,Olimpik Donetsk U21
Olympiakos Kyminion,Kyminion
Onisillos Sotiras FC,Sotiras
Polisportiva Arzachena,Arzachena
Portmore United FC,Portmore
Pumas U.N.A.M.,U.N.A.M.- Pumas
Queretaro FC,Queretaro
RFC de Liege,RFC Liege
Rangers,Rangers
Real Sociedad ,Real Sociedad
SC Freiburg  (W),Freiburg W
SG Sacavenense,Sacavenense
Sacavenense,Sacavenense
Saham,Saham
Sammaurese,Sammaurese
Samut Prakan City,Samut Prakan City
San Marino Calcio,San Marino
Sanat Naft Abadan,Sanat Naft
Sangiustese,Sangiustese
Santa Ursula,Santa Ursula
Senglea Athletic FC,Senglea Athletics
Seravezza,Seravezza Pozzi
Seregno,Seregno
Sertanense,Sertanense
Shakhtar Donetsk U21,Shakhtar Donetsk U21
Silves,Silves FC
SpVgg Greuther Furth,Greuther Furth
Sportivo Dock Sud,Dock Sud
Sportivo San Lorenzo (N),San Lorenzo
St. Andrews FC,St. Andrews
Stade de Reims II,Reims II
Suphanburi FC,Suphanburi
TS Galaxy,TS Galaxy
Talaea El Gaish (N),El Gaish
Torre Levante Orriols,Torre Levante
Torreense,Torreense
Trastevere Calcio,Trastevere Calcio
Turbine Potsdam (W),Potsdam W
UCAM Murcia CF B,UCAM Murcia B
UD Oliveirense (N),Oliveirense
UD San Sebastian de los Reyes,San Sebastian Reyes
US Bitonto,Bitonto
US Caratese,Folgore Caratese
US Orleans Loiret Football,Orleans
US Sestri Levante,Sestri Levante
USD Citta di Fasano,Citta di Fasano
Umm Salal (N),Umm-Salal
VVV Helmond Sport (R),Jong Helmond
Vigor Carpaneto,Vigor Carpaneto
Virtus Bergamo,Virtus Bergamo
Vitoria de Setubal ,Setubal
Willem II Tilburg,Willem II
Yenisey Krasnoyarsk (N),Yenisey
Yokohama,Yokohama
Yzeure,Moulins-Yzeure
Zamalek,Zamalek
Zemun,Zemun
Zoo Kericho Fc,Zoo Kericho
Algeria,Algeria
Paraguay,Paraguay
Sweden,Sweden
Enfield Town,Enfield Town
Horsham F.C.,Horsham FC
Spennymoor Town FC,Spennymoor
AFC Telford United,AFC Telford
Brackley Town FC,Brackley Town
Alfreton Town FC,Alfreton
Peterborough Sports FC,Peterborough Sports
Banbury United ,Banbury
Gloucester City,Gloucester
Buxton FC,Buxton
Kidderminster Harriers FC,Kidderminster
Chorley FC,Chorley
Chester FC,Chester
Curzon Ashton FC,Curzon Ashton
Scarborough Athletic.Scarborough
Darlington FC,Darlington
Blyth Spartans AFC,Blyth
Farsley Celtic FC,Farsley
Boston United FC,Boston Utd
Hereford FC,Hereford
Leamington FC,Leamington
Kettering Town,Kettering
Kings Lynn FC,King’s Lynn
Southport FC ,Southport
St Albans City,St. Albans
Cheshunt FC,Cheshunt
Dulwich Hamlet,Dulwich Hamlet
Chippenham Town,Chippenham
Slough Town FC,Slough
Concord Rangers,Concord
Worthing FC,Worthing
Dartford FC,Dartford
Eastbourne Borough,Eastbourne Boro
Farnborough FC,Farnborough
Chelmsford City,Chelmsford
Hemel Hempstead,Hemel Hempstead
Tonbridge Angels,Tonbridge
Hungerford Town FC,Hungerford
Hampton & Richmond,Hampton & Richmond
Oxford City,Oxford City
Ebbsfleet United FC,Ebbsfleet
Welling United,Welling
Dover Athletic FC,Dover
Weymouth FC,Weymouth
Havant & Waterlooville FC,avant & W
Ashton United,Ashton Utd
Matlock Town FC,Matlock
Bamber Bridge,Bamber Bridge
Warrington Town,Warrington
Belper Town,Belper Town
Stalybridge Celtic,Stalybridge
Gainsborough,Gainsborough
Guiseley AFC,Guiseley
Hyde,Hyde
Nantwich Town FC,Nantwich
Liversedge,Liversedge
FC United of Manchester,FC United
Marine FC,Marine
Atherton Collieries AFC,Atherton
Morpeth Town,Morpeth
Lancaster City,Lancaster
Radcliffe Boro,Radcliffe
Whitby,Whitby
Warrington Rylands,Warrington Rylands
Stafford Rangers,Stafford
AFC Rushden & Diamonds,AFC Rushden & Diamonds
Coalville Town,Coalville
Basford United FC,Basford
Stourbridge, Stourbridge
Hednesford Town FC,Hednesford
Bromsgrove Sporting,Bromsgrove
Hendon,Hendon
Chesham United,Chesham
Ilkeston,Ilkeston
Stratford Town,Stratford
Leiston,Leiston
Bedford Town FC,Bedford
Merthyr Town,Merthyr Town
Winchester City FC,Winchester
Mickleover Sports,Mickleover
Tamworth,Tamworth
North Leigh,North Leigh
Hayes & Yeading,Hayes & Yeading
Nuneaton Town,Nuneaton
Alvechurch FC,Alvechurch
Plymouth Parkway,Plymouth Parkway
Salisbury FC,Salisbury
Royston Town FC,Royston
Barwell,Barwell
Weston Super Mare,Weston-super-Mare
Swindon Supermarine,Swindon S
Yate Town,Yate Town
Truro City,Truro
Caernarfon Town FC,Caernarfon Town FC
Connah`s Quay Nomads FC,Connahs Q.
Haverfordwest County,Haverfordwest
Cardiff Metropolitan University FC,Cardiff Metropolitan
Newtown AFC,Newtown
Bala Town FC,Bala
Penybont,Penybont
Pontypridd Town,Pontypridd
CD Godoy Cruz,Godoy Cruz
Guairena FC,Guairena FC
Sportivo Ameliano,Ameliano
Aberystwyth Town FC,Aberystwyth
Airbus UK Broughton,Airbus
